college,name,url
计算机科学与技术学院（软件学院）,杜扬,https://web.suda.edu.cn/duyang/
计算机科学与技术学院（软件学院）,高国举,https://web.suda.edu.cn/ggj/
计算机科学与技术学院（软件学院）,朱苏阳,https://web.suda.edu.cn/zsy/
计算机科学与技术学院（软件学院）,朴明浩,https://web.suda.edu.cn/pmh/
计算机科学与技术学院（软件学院）,瞿剑峰,https://web.suda.edu.cn/jjf2/
计算机科学与技术学院（软件学院）,杨浩,https://web.suda.edu.cn/yang_hao/
计算机科学与技术学院（软件学院）,曹自强,https://web.suda.edu.cn/21N062_37750/
计算机科学与技术学院（软件学院）,白志凤,https://web.suda.edu.cn/zfbai/
计算机科学与技术学院（软件学院）,汪笑宇,https://web.suda.edu.cn/xywang21/
计算机科学与技术学院（软件学院）,蔡蔚然,https://web.suda.edu.cn/wrcai/
计算机科学与技术学院（软件学院）,赵爽,https://web.suda.edu.cn/zs/
计算机科学与技术学院（软件学院）,邓滔,https://web.suda.edu.cn/dt/
计算机科学与技术学院（软件学院）,张妍,https://web.suda.edu.cn/zy2/
计算机科学与技术学院（软件学院）,龚晨,https://web.suda.edu.cn/gongchen18/
计算机科学与技术学院（软件学院）,汪磊,https://web.suda.edu.cn/wanglei/
计算机科学与技术学院（软件学院）,骞微著,https://web.suda.edu.cn/wzqian/
计算机科学与技术学院（软件学院）,樊佳庆,https://web.suda.edu.cn/jqfan/
计算机科学与技术学院（软件学院）,邓飞霞,https://web.suda.edu.cn/fxdeng/
计算机科学与技术学院（软件学院）,张可,https://web.suda.edu.cn/kzhang19/
计算机科学与技术学院（软件学院）,高捷,https://web.suda.edu.cn/gj2/
计算机科学与技术学院（软件学院）,陈宁,https://web.suda.edu.cn/cn/index.html
计算机科学与技术学院（软件学院）,罗路尧,https://web.suda.edu.cn/lly/
计算机科学与技术学院（软件学院）,王伟行,https://web.suda.edu.cn/wwx/
计算机科学与技术学院（软件学院）,夏文文,https://web.suda.edu.cn/xww2/
计算机科学与技术学院（软件学院）,吴锦辉,https://web.suda.edu.cn/wjh2/
